year ,month,day,total_returns_received,processed,total_e_file,tax_pro,self_prepared,web_usage,total_refunds,total_refunds_amount_billions,total_refunds_average_refund,direct_deposit_refunds_number,direct_deposit_refunds _amount_billions,"direct_deposit_refunds_average
refund"
2017,2,3,"20,181,000","19,968,000","19,407,000","7,796,000","11,611,000","68,464,005","6,596,000",$13.15,"$1,994","6,220,000",$12.75,"$2,050"
2017,1,27,"8,912,000","8,804,000","8,366,000","3,192,000","5,174,000","45,912,743","2,013,000",$3.76,"$1,866","1,916,000",$3.66,"$1,909"
2016,12,30,"152,544,000","152,250,000","131,851,000","78,736,000","53,115,000","507,269,589","111,069,000",$317.62,"$2,860","88,416,000",$264.82,"$2,995"
2016,12,2,"152,216,000","151,891,000","131,851,000","78,736,000","53,115,000","488,350,707","110,986,000",$317.09,"$2,857","88,371,000",$264.53,"$2,993"
2016,10,21,"151,187,000","150,570,000","131,628,000","78,521,000","53,107,000","462,252,942","109,959,000",$305.34,"$2,777","88,006,000",$259.88,"$2,953"
2016,9,2,"145,734,000","145,413,000","127,074,000","74,523,000","52,551,000","429,038,682","108,038,000",$297.07,"$2,750","86,991,000",$255.00,"$2,931"
2016,5,13,"140,258,000","134,438,000","123,737,000","71,740,000","51,997,000","348,401,089","102,424,000",$279.86,"$2,732","84,273,000",$244.84,"$2,905"
2016,5,6,"139,620,000","132,748,000","123,401,000","71,476,000","51,925,000","341,781,659","101,244,000",$276.53,"$2,731","83,669,000",$242.82,"$2,902"
2016,4,29,"138,827,000","131,245,000","123,023,000","71,193,000","51,830,000","334,395,994","99,899,000",$272.03,"$2,723","82,977,000",$240.17,"$2,894"
2016,4,22,"136,528,000","129,456,000","122,546,000","70,864,000","51,682,000","325,525,568","97,079,000",$263.20,"$2,711","81,221,000",$234.27,"$2,884"
2016,4,15,"124,616,000","119,923,000","113,402,000","66,361,000","47,041,000","311,499,555","88,833,000",$244.87,"$2,757","75,240,000",$220.03,"$2,924"
2016,4,8,"107,452,000","104,527,000","98,731,000","57,006,000","41,725,000","289,884,145","81,751,000",$228.78,"$2,798","70,027,000",$207.36,"$2,961"
2016,4,1,"97,631,000","94,988,000","89,973,000","51,014,000","38,959,000","274,877,786","76,040,000",$215.35,"$2,832","65,780,000",$196.63,"$2,989"
2016,3,25,"89,412,000","86,914,000","82,787,000","46,100,000","36,687,000","261,025,110","70,786,000",$202.87,"$2,866","61,844,000",$186.55,"$3,016"
2016,3,18,"81,960,000","79,631,000","76,212,000","41,558,000","34,654,000","247,070,498","65,441,000",$189.90,"$2,902","57,758,000",$175.85,"$3,045"
2016,3,11,"74,456,000","72,164,000","69,527,000","37,148,000","32,379,000","231,878,508","59,727,000",$175.88,"$2,945","53,295,000",$164.06,"$3,078"
2016,3,4,"66,723,000","64,441,000","62,636,000","32,600,000","30,036,000","212,608,945","53,508,000",$160.17,"$2,993","48,309,000",$150.57,"$3,117"
2016,2,26,"58,304,000","56,290,000","55,081,000","27,709,000","27,372,000","193,235,495","46,533,000",$142.09,"$3,053","42,551,000",$134.65,"$3,164"
2016,2,19,"49,020,000","47,420,000","46,758,000","22,588,000","24,170,000","169,616,932","38,550,000",$120.57,"$3,128","35,720,000",$115.23,"$3,226"
2016,2,12,"38,737,000","37,672,000","37,106,000","17,122,000","19,984,000","140,786,322","29,155,000",$94.00,"$3,224","27,367,000",$90.56,"$3,309"
2016,2,5,"26,670,000","26,133,000","25,656,000","11,010,000","14,646,000","97,487,501","17,321,000",$58.63,"$3,385","16,533,000",$57.05,"$3,450"
2016,1,29,"13,288,000","13,124,000","12,585,000","5,106,000","7,479,000","53,386,675","2,248,000",$7.84,"$3,486","2,175,000",$7.69,"$3,536"
2015,12,25,"150,991,000","150,727,000","128,784,000","78,406,000","50,378,000","490,314,213","109,426,000",$306.02,"$2,797","86,228,000",$254.94,"$2,957"
2015,12,4,"150,655,000","150,356,000","128,784,000","78,406,000","50,378,000","471,766,005","109,346,000",$305.44,"$2,793","86,188,000",$254.68,"$2,955"
2015,11,20,"150,497,000","150,102,000","128,784,000","78,406,000","50,378,000","464,880,260","109,171,000",$304.00,"$2,785","86,145,000",$254.28,"$2,952"
2015,10,30,"150,062,000","149,351,000","128,653,000","78,279,000","50,374,000","451,563,658","108,739,000",$298.60,"$2,746","86,014,000",$252.47,"$2,935"
2015,10,23,"149,821,000","149,048,000","128,606,000","78,234,000","50,372,000","446,316,318","108,465,000",$296.00,"$2,729","85,904,000",$251.29,"$2,925"
2015,9,25,"145,088,000","144,815,000","124,840,000","74,940,000","49,900,000","428,728,525","106,981,000",$289.79,"$2,709","85,090,000",$247.52,"$2,909"
2015,8,28,"143,780,000","143,526,000","123,945,000","74,154,000","49,791,000","411,675,144","106,298,000",$287.40,"$2,704","84,781,000",$246.21,"$2,904"
2015,7,31,"142,603,000","142,244,000","123,199,000","73,529,000","49,670,000","393,555,113","105,490,000",$284.78,"$2,700","84,421,000",$244.78,"$2,900"
2015,5,15,"138,209,000","133,403,000","120,612,000","71,417,000","49,195,000","334,566,853","101,407,000",$273.55,"$2,698","82,531,000",$238.30,"$2,887"
2015,5,8,"137,312,000","131,852,000","120,253,000","71,135,000","49,118,000","326,306,561","100,320,000",$270.99,"$2,701","82,029,000",$236.89,"$2,888"
2015,5,1,"136,191,000","130,145,000","119,865,000","70,835,000","49,030,000","320,834,027","99,020,000",$267.61,"$2,703","81,425,000",$235.03,"$2,887"
2015,4,24,"134,209,000","128,317,000","119,402,000","70,491,000","48,911,000","310,407,523","97,097,000",$262.19,"$2,700","80,383,000",$231.69,"$2,882"
2015,4,17,"132,268,000","126,121,000","118,766,000","70,064,000","48,702,000","300,060,301","91,818,000",$248.92,"$2,711","76,824,000",$222.00,"$2,890"
2015,4,10,"110,754,000","108,000,000","100,759,000","59,976,000","40,783,000","274,611,418","83,184,000",$230.92,"$2,776","70,510,000",$207.79,"$2,947"
2015,4,3,"99,056,000","96,992,000","90,608,000","52,963,000","37,645,000","258,535,303","77,200,000",$217.35,"$2,815","66,179,000",$197.13,"$2,979"
2015,3,27,"90,255,000","88,298,000","82,905,000","47,565,000","35,340,000","243,272,673","71,685,000",$204.50,"$2,853","62,129,000",$186.87,"$3,008"
2015,3,20,"82,289,000","80,439,000","76,022,000","42,711,000","33,311,000","227,702,714","66,108,000",$191.23,"$2,893","57,944,000",$176.06,"$3,038"
2015,3,13,"74,455,000","72,706,000","69,189,000","38,089,000","31,100,000","211,432,154","60,320,000",$177.24,"$2,938","53,485,000",$164.41,"$3,074"
2015,3,6,"66,700,000","64,900,000","62,342,000","33,419,000","28,923,000","196,652,187","54,258,000",$162.11,"$2,988","48,699,000",$151.55,"$3,112"
2015,2,27,"58,528,000","56,857,000","55,104,000","28,733,000","26,371,000","177,807,672","47,547,000",$144.90,"$3,048","43,228,000",$136.57,"$3,159"
2015,2,20,"49,652,000","48,295,000","47,157,000","23,725,000","23,432,000","155,780,478","39,964,000",$124.67,"$3,120","36,817,000",$118.50,"$3,219"
2015,2,13,"39,699,000","38,669,000","37,919,000","18,465,000","19,454,000","130,268,292","30,930,000",$99.73,"$3,224","28,884,000",$95.58,"$3,309"
2015,2,6,"27,517,000","27,084,000","26,472,000","12,135,000","14,337,000","97,768,901","19,651,000",$66.14,"$3,366","18,647,000",$63.98,"$3,431"
2015,1,30,"14,026,000","13,897,000","13,327,000","5,857,000","7,469,000","65,561,078","7,595,000",$26.88,"$3,539","7,310,000",$26.21,"$3,586"
